facility,country_code,country,city,year,pollutant,total_emissions
TARANIS DU ROUVRAY,FR,France,SAINT-ETIENNE-DU-ROUVRAY,2023,NOX,132000
VERESCENCE FRANCE,FR,France,LE TREPORT,2023,NOX,463000
COGENERATION BIOMASSE DE NOVILLARS,FR,France,NOVILLARS,2023,NOX,130000
NOVAWOOD,FR,France,LANEUVEVILLE-DEVANT-NANCY,2023,NOX,244000
CRISTAL UNION,FR,France,BAZANCOURT,2023,NOX,101000
CABOT CARBONE,FR,France,LILLEBONNE,2023,NOX,164000
TOTALENERGIES RAFFINAGE FRANCE,FR,France,GONFREVILLE L'ORCHER,2023,NOX,915000
TOURRES ET CIE VERRERIES DE GRAVILLE,FR,France,LE HAVRE,2023,NOX,317000
YARA FRANCE,FR,France,GONFREVILLE L'ORCHER,2023,NOX,149000
TOTALENERGIES PETROCHEMICALS FRANCE,FR,France,HARFLEUR,2023,NOX,579000
BIO COGELYO NORMANDIE,FR,France,GRAND COURONNE,2023,NOX,100000
EQIOM,FR,France,ROCHEFORT-SUR-NENON,2023,NOX,338000
SYLVAMO FRANCE SA,FR,France,SAILLAT-SUR-VIENNE,2023,NOX,611000
FERROGLOBE FRANCE,FR,France,ANGLEFORT,2023,NOX,145000
VERALLIA FRANCE,FR,France,LAGNIEU,2023,NOX,266000
FERROGLOBE FRANCE,FR,France,LIVET-ET-GAVET,2023,NOX,132000
VICAT,FR,France,SAINT-EGREVE,2023,NOX,288000
EUROFLOAT,FR,France,SALAISE-SUR-SANNE,2023,NOX,195000
CF2P,FR,France,LURE,2023,NOX,202000
SOLVAY FRANCE,FR,France,TAVAUX,2023,NOX,176000
O-I FRANCE SAS,FR,France,LABEGUDE,2023,NOX,116000
LAFARGE CIMENTS,FR,France,VIVIERS,2023,NOX,1510000
VICAT,FR,France,BOUVESSE-QUIRIEU,2023,NOX,1230000
TREDI,FR,France,SALAISE-SUR-SANNE,2023,NOX,239000
VERALLIA FRANCE,FR,France,SAINT-ROMAIN-LE-PUY,2023,NOX,211000
O-I FRANCE SAS,FR,France,VEAUCHE,2023,NOX,176000
LAFARGE CIMENTS,FR,France,LOZANNE,2023,NOX,393000
TOTALENERGIES RAFFINAGE FRANCE,FR,France,FEYZIN,2023,NOX,1010000
SUEZ RR IWS CHEMICALS FRANCE,FR,France,LE PONT-DE-CLAIX,2023,NOX,104000
KOGEBAN,FR,France,NESLE,2023,NOX,186000
COGENERATION BIOMASSE D'ESTREES-MONS,FR,France,ESTREES-MONS,2023,NOX,124000
NOVACARB,FR,France,LANEUVEVILLE-DEVANT-NANCY,2023,NOX,400000
ELECTRICITE DE FRANCE,FR,France,BLENOD-LES-PONT-À-MOUSSON,2023,NOX,318000
SOLVAY OPERATIONS FRANCE,FR,France,DOMBASLE-SUR-MEURTHE,2023,NOX,355000
VICAT,FR,France,XEUILLEY,2023,NOX,325000
CARRIERES & FOURS A CHAUX DE DUGNY,FR,France,DUGNY SUR MEUSE,2023,NOX,163000
EQIOM,FR,France,HEMING,2023,NOX,552000
ARCELORMITTAL FRANCE,FR,France,FLORANGE,2023,NOX,126000
O-I FRANCE SAS,FR,France,GIRONCOURT-SUR-VRAINE,2023,NOX,148000
NORSKE SKOG GOLBEY,FR,France,GOLBEY,2023,NOX,517000
EGGER PANNEAUX ET DECORS,FR,France,RAMBERVILLERS,2023,NOX,239000
LAFARGE CIMENTS (USINE CIMENTERIE),FR,France,ST PIERRE LA COUR,2023,NOX,1600000
SMURFIT KAPPA CELLULOSE DU PIN,FR,France,BIGANOS,2023,NOX,313000
TOTALENERGIES MARKETING SERVICES,FR,France,DONGES,2023,NOX,753000
ELECTRICITE DE FRANCE,FR,France,CORDEMAIS,2023,NOX,357000
SUEZ RV ENERGIE,FR,France,VEDENE,2023,NOX,170000
AGC GLASS SEINGBOUSE,FR,France,SEINGBOUSE,2023,NOX,219000
SOC DES FOURS A CHAUX DE SORCY,FR,France,SORCY-SAINT-MARTIN,2023,NOX,232000
INEOS POLYMERS SARRALBE SAS,FR,France,SARRALBE,2023,NOX,125000
GAZELENERGIE GENERATION,FR,France,SAINT-AVOLD,2023,NOX,189000
TOTALENERGIES - CENTRALE ELECTRIQUE TOUL,FR,France,TOUL,2023,NOX,199000
O-I FRANCE SAS,FR,France,VAYRES,2023,NOX,168000
ALTEO GARDANNE,FR,France,GARDANNE,2023,NOX,107000
GAZELENERGIE GENERATION,FR,France,MEYREUIL,2023,NOX,205000
ZEPHIRE,FR,France,TOULON,2023,NOX,112000
VICAT,FR,France,BLAUSASC,2023,NOX,639000
FIBRE EXCELLENCE PROVENCE,FR,France,TARASCON,2023,NOX,377000
NAPHTACHIMIE,FR,France,MARTIGUES,2023,NOX,853000
